Date;Regime-Aware;60/40
1970-12-31;1.0;1.0
1971-01-31;1.0272288824424984;1.0397755427527582
1971-02-28;1.0339292660774195;1.0458873143296625
1971-03-31;1.0686647201473833;1.0920019217217567
1971-04-30;1.0547156434844303;1.0989683536966735
1971-05-31;1.0454642125357236;1.0633620739981042
1971-06-30;1.0326112707894237;1.055314308550003
1971-07-31;1.0091910530414967;1.0264689982113104
1971-08-31;1.0484692982561064;1.0701669438584056
1971-09-30;1.0507824075396408;1.0776233627020808
1971-10-31;1.0325719624912302;1.0572613251256697
1971-11-30;1.031744212252727;1.055689682475946
1971-12-31;1.0833950889129242;1.1137176524747758
1972-01-31;1.0954994629587858;1.1209398434126507
1972-02-29;1.11928118258197;1.1420308896606073
1972-03-31;1.1224866619365588;1.1454668545431195
1972-04-30;1.1281126687611036;1.1500850832963967
1972-05-31;1.1556364548446925;1.1676837513855776
1972-06-30;1.1567391526123119;1.1510291129005699
1972-07-31;1.1676393348167013;1.1561072047255447
1972-08-31;1.1857658020658102;1.1713920778759634
1972-09-30;1.1785740803308702;1.1660053055062456
1972-10-31;1.1894128068578542;1.1799404416818489
1972-11-30;1.2212874148444408;1.2196904048836235
1972-12-31;1.2322755647914931;1.2258513295572124
1973-01-31;1.2257957423888537;1.2108110865327273
1973-02-28;1.2398303954861882;1.182355190564183
1973-03-31;1.2816627083984764;1.1805628833330453
1973-04-30;1.2810156580020569;1.1554466040618125
1973-05-31;1.3040655846898108;1.1365055995281104
1973-06-30;1.3564020901668734;1.1342849256373964
1973-07-31;1.3494349100965972;1.1453003078496975
1973-08-31;1.2926897049888428;1.1295701743892363
1973-09-30;1.2828115678837653;1.1722926502113213
1973-10-31;1.2727608495786715;1.1812598605451168
1973-11-30;1.247705280217533;1.1039596988639069
1973-12-31;1.3238107770176828;1.1100372498324045
1974-01-31;1.4586671580930548;1.1023613295430825
1974-02-28;1.556626540331296;1.1021844354047192
1974-03-31;1.616528519636042;1.0754689652663998
1974-04-30;1.6181641505264377;1.044404205025321
1974-05-31;1.5857804589657347;1.030750561533168
1974-06-30;1.5438824329585554;1.0203248768671365
1974-07-31;1.4940863802533513;0.9672148393720014
1974-08-31;1.4959806421346928;0.9106149306383776
1974-09-30;1.477420991898869;0.8528617724574497
1974-10-31;1.5383674142817518;0.9426702262992797
1974-11-30;1.5808566836383937;0.9195902180092064
1974-12-31;1.5948064330064171;0.9179400659957401
1975-01-31;1.6027549542227193;0.9840454230487691
1975-02-28;1.630967980106791;1.0240842213237873
1975-03-31;1.6045495515686747;1.0223091089124672
1975-04-30;1.5835888529840056;1.0443271852045033
1975-05-31;1.614932367566552;1.083968412093933
1975-06-30;1.6379618043316626;1.1184839974963805
1975-07-31;1.6258921607838477;1.06753774575175
1975-08-31;1.6089636842462685;1.0542356131842323
1975-09-30;1.5618337008312841;1.02853479729533
1975-10-31;1.6397742005645033;1.088645481866781
1975-11-30;1.6524263607041518;1.0997122285450354
1975-12-31;1.663111655243045;1.1086665404754064
1976-01-31;1.758909223407699;1.1888150742892791
1976-02-29;1.7580873595072293;1.1849164511834283
1976-03-31;1.7936752040045563;1.2139926248588184
1976-04-30;1.7849303576129423;1.2086958099231673
1976-05-31;1.758823265732739;1.190274801407341
1976-06-30;1.8032361631640612;1.2264851028380148
1976-07-31;1.7822645007530884;1.223771535363012
1976-08-31;1.775538450897979;1.2311073368196943
1976-09-30;1.825716364667583;1.2553271646312831
1976-10-31;1.8585609318494396;1.246987622472576
1976-11-30;1.9151784535437937;1.2608678379173643
1976-12-31;1.9593802635710438;1.3116604666558156
1977-01-31;1.9012169122557325;1.250655307175758
1977-02-28;1.90021801092893;1.2217190901088244
1977-03-31;1.9475433636342694;1.2296832317823365
1977-04-30;1.9363798866069513;1.2316962311491153
1977-05-31;1.911552766460311;1.2201050911007847
1977-06-30;1.925309609057439;1.263388961826731
1977-07-31;1.908077132260157;1.2453041380978145
1977-08-31;1.9069497386510625;1.2451598451041674
1977-09-30;1.9236852769867436;1.234439768652998
1977-10-31;1.8990600194690685;1.1971101491859857
1977-11-30;1.9317826113478758;1.2222086215876973
1977-12-31;1.9298939184754582;1.2184553820575441
1978-01-31;1.8738244450265733;1.1704436131027396
1978-02-28;1.8666030880176747;1.1524213452898242
1978-03-31;1.8896278837162996;1.1687094684921697
1978-04-30;1.9270794805451625;1.2284269147766933
1978-05-31;1.9918304538276699;1.228275289585468
1978-06-30;1.9692752505156257;1.2105895820749388
1978-07-31;2.07061476595458;1.2555559393441555
1978-08-31;2.126849947251914;1.2855422703848631
1978-09-30;2.1363734331985125;1.2765889153708814
1978-10-31;2.083942963073069;1.193995639850257
1978-11-30;2.011051719285392;1.2133183462358095
1978-12-31;2.1003646091833534;1.2166044905211537
1979-01-31;2.1728361282223756;1.2571737989751361
1979-02-28;2.168888494328729;1.2245963265286615
1979-03-31;2.210364243588752;1.2712199391175714
1979-04-30;2.220937002152949;1.2666823057694836
1979-05-31;2.2725691353806585;1.262497651722069
1979-06-30;2.3317370201082994;1.3057874914666288
1979-07-31;2.3978656338575823;1.308180525679583
1979-08-31;2.4725061848989465;1.3442262926664885
1979-09-30;2.7462005723382266;1.3398288803877456
1979-10-31;2.6588192288394716;1.2366484664483353
1979-11-30;2.778806449412299;1.2863212510242086
1979-12-31;3.072601234354937;1.305775513202173
1980-01-31;3.4410873174285594;1.3229944664152855
1980-02-29;3.3407816131582306;1.2611266093757902
1980-03-31;3.0383452060810674;1.1926870977521995
1980-04-30;3.1756593573043363;1.3039640672051833
