;Regime-Aware;60/40
CAGR;0.07639012624184716;0.07742626643431594
AnnVol;0.08251760059528988;0.10296501953387537
Sharpe;0.9355003398222596;0.7777771761056526
MaxDD;-0.19151630296216748;-0.3073476702039063
